Agency,Sub-contractor,Cluster,Site,Machine,Daily_Capacity,start_date,planned_end_date,expected_end_date,days_to_sept30,Quantity to be remediated in MT,Cumulative Quantity remediated till date in MT,Active_site,net_to_be_remediated_mt,days_required,Quantity remediated today
Tharuni,Tharuni,Kadapa,Kamalapuram,,,,,,,1763,0,No,,,0
Tharuni,Tharuni,Hindupur,Hindupur,,,,,,,49020,0,No,,,0
Tharuni,Tharuni,Hindupur,Dharmavaram,,700,,,,,23000,3119,Yes,,,641
Tharuni,Tharuni,Hindupur,Madakasira,,,,,,,664,664,Yes,,,0
Tharuni,Tharuni,Hindupur,Puttaparthy,,,,,,,10299,0,No,,,0
Tharuni,Tharuni,Hindupur,Kadiri,,,,,,,20000,0,No,,,0
Tharuni,Tharuni,Hindupur,Penukonda,,700,,,,,14332,6329,Yes,,,817
Tharuni,Tharuni,Addanki,Ongole,,900,,,,,61929,12921,Yes,,,1071
Tharuni,Tharuni,Addanki,Addanki,,700,,,,,58754,6169,Yes,,,0
Tharuni,Tharuni,Addanki,Markapuram,,700,,,,,33877,3214,No,,,653
Tharuni,Tharuni,Addanki,Chirala,,,,,,,28392,0,No,,,0
Tharuni,Tharuni,Addanki,Kandukuru,,,,,,,26160,0,No,,,0
Tharuni,Tharuni,Addanki,Chimakurthy,,,,,,,14459,0,No,,,0
Tharuni,Tharuni,Addanki,Kanigiri,,,,,,,11662,0,No,,,0
Tharuni,Tharuni,Addanki,Darsi,,,,,,,1602,0,No,,,0
Tharuni,Tharuni,Addanki,Podili,,,,,,,1075,0,No,,,0
